PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;BARRIO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
7064565;Iglesia Bautista Pueblo Nuevo;;;;Metro: Pueblo Nuevo (líneas 5 y 7)    Bus: 38, 109, 113;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=0304efba3c850410VgnVCM1000000b205a0aRCRD;GUTIERRE DE CETINA;CALLE;V;13;;;;;MADRID;MADRID;28017;PUEBLO NUEVO;CIUDAD LINEAL;445471;4476322;4.043.387.488.622.840;-3.644.196.517.698.970;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
7064568;Iglesia Celebración Cristiana (Comunidad Sendero de la Cruz);;;;Metro: García Noblejas (línea 7)  Bus: 4, 28, 38, 48, 70, 105;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f5e7efba3c850410VgnVCM1000000b205a0aRCRD;MIGUEL FLETA;CALLE;V;11;;;;;MADRID;MADRID;28037;SIMANCAS;SAN BLAS-CANILLEJAS;446557;4476094;4.043.189.156.564.130;-3.631.374.057.578.600;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
7064593;Iglesia CENFOL España;;;;Metro: Pinar del Rey (línea 8)  Bus: 73, 87;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=beddb8d07d850410VgnVCM1000000b205a0aRCRD;ALEJANDRO VILLEGAS;CALLE;V;34;local;;;;MADRID;MADRID;28043;CANILLAS;HORTALEZA;445104;4479799;4.046.517.332.828.150;-36.488.243.746.464.300;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
7064594;Iglesia Centro Cristiano Adonay;;;;Metro: Cruce Villaverde (línea 3)    Bus: 18, 22, 59, 79, 85, 116, 123, 130;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=e65fb8d07d850410VgnVCM1000000b205a0aRCRD;MARIA MARTINEZ OVIOL;CALLE;V;17;;B;;;MADRID;MADRID;28021;LOS ROSALES;VILLAVERDE;441407;4467054;4.035.010.688.886.280;-3.691.253.820.762.230;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
7064614;Iglesia Comunidad Cristiana de Fe;;;;Metro: Plaza Castilla (líneas 1, 9 y 10)  Bus: 5, 66, 70, 107, 129, 174,   Renfe: Chamartín;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=5c77b8d07d850410VgnVCM1000000b205a0aRCRD;MANUEL FERRERO;CALLE;V;5;;Local;;;MADRID;MADRID;28036;CASTILLA;CHAMARTIN;442076;4480166;40.468.282.503.897.200;-36.845.607.169.672.000;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
18298;Iglesia Cristiana Adventista del Séptimo Día. Madrid Alenza;;;;Metro: Ríos Rosas (línea 1), Cuatro Caminos (líneas 1, 2, 6)  Bus: 3 , 12 ,37, 45, 149;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=435f6f065851c010VgnVCM2000000c205a0aRCRD;ALENZA;CALLE;V;6;Baja;;;;MADRID;MADRID;28003;RIOS ROSAS;CHAMBERI;440704;4477434;4.044.356.545.097.690;-37.004.998.266.858.400;652 669 072;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
190017;Iglesia Cristiana Adventista del Séptimo Día. Madrid Aluche;;;;Metro: Carabanchel (línea 5)  Bus: 17, 31;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=08470bf21677f010VgnVCM1000000b205a0aRCRD;LOS YEBENES;CALLE;V;255;;;;;MADRID;MADRID;28047;ALUCHE;LATINA;436321;4471465;4.038.946.974.102.780;-37.515.803.449.309.400;631 800 027;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
190019;Iglesia Cristiana Adventista del Séptimo Día. Madrid Beneficencia;;;;Metro: Tribunal (líneas 1, 10), Alonso Martínez (líneas 4, 5, 10)  Bus: 21, 37, 40;Habla rumana;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ed570bf21677f010VgnVCM1000000b205a0aRCRD;BENEFICENCIA;CALLE;V;18;;;;;MADRID;MADRID;28004;JUSTICIA;CENTRO;440843;4475522;4.042.635.120.982.080;-3.698.682.579.292.040;653 778 836;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
190024;Iglesia Cristiana Adventista del Séptimo Día. Madrid Calatrava;;;;Bus: 108, 118;Habla rumana;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=3a870bf21677f010VgnVCM1000000b205a0aRCRD;SECOYA;CALLE;V;19;;;;POLIGONO INDUSTRIAL AGUACATE;MADRID;MADRID;28044;BUENAVISTA;CARABANCHEL;436868;4469216;4.036.926.045.846.840;-3.744.912.867.450.050;615 364 456;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
8353139;Iglesia Cristiana Adventista del Séptimo Día. Madrid Eben-Ezer;;;;Bus: 4, 106, 140, 153;Habla rumana;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=925691f81c421510VgnVCM2000000c205a0aRCRD;RUSIA;CALLE;V;11;;;;;MADRID;MADRID;28022;ROSAS;SAN BLAS-CANILLEJAS;448356;4475231;4.042.423.100.660.820;-3.610.095.282.640.810;;;661 957 970;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
190046;Iglesia Cristiana Adventista del Séptimo Día. Madrid Efes;;;;Metro: Urgel (línea 5), Opañel (líneas 5, 6)  Bus: 34, 35,  119;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=5cb70bf21677f010VgnVCM1000000b205a0aRCRD;ALEJANDRO SANCHEZ;CALLE;V;49;;;;;MADRID;MADRID;28019;OPAÑEL;CARABANCHEL;438825;4471520;40.390.153.190.373.000;-37.220.850.553.963.800;630 107 994;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
4578472;Iglesia Cristiana Adventista del Séptimo Día. Madrid Emaús;;;;Bus: 4, 106, 140, 153;Habla rumana;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d6d9493662e92110VgnVCM1000000b205a0aRCRD;RUSIA;CALLE;V;11;;;;;MADRID;MADRID;28022;ROSAS;SAN BLAS-CANILLEJAS;448356;4475231;4.042.423.100.660.820;-3.610.095.282.640.810;653 778 836;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
6893233;Iglesia Cristiana Adventista del Séptimo Día. Madrid Grupo brasileño;;;;Metro:  Oporto (líneas 5, 6)  Bus: 34, 35;Habla portuguesa;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f1d689f2b4eed310VgnVCM2000000c205a0aRCRD;JUAN FRANCISCO;TRAVESIA;V;4;;;;;MADRID;MADRID;28025;PUERTA BONITA;CARABANCHEL;437953;4471161;4.038.685.454.268.190;-37.323.234.966.679.700;645 402 526;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
8352971;Iglesia Cristiana Adventista del Séptimo Día. Madrid Noviciado de Horeb;;;;Bus: 34, 35, 118, 119  Metro: Urgel (línea 5);;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=384fcef44b421510VgnVCM2000000c205a0aRCRD;"MARQUESA DE ARG&Uuml;ESO";CALLE;V;24;;;;;MADRID;MADRID;28019;OPAÑEL;CARABANCHEL;438674;4471662;4.039.143.027.890.690;-3.723.877.858.559.500;639 968 584;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
190054;Iglesia Cristiana Adventista del Séptimo Día. Madrid Resurrección;;;;Bus: 140, 153;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=23e70bf21677f010VgnVCM1000000b205a0aRCRD;AUSTRIA;CALLE;V;2;;;;;MADRID;MADRID;28022;ROSAS;SAN BLAS-CANILLEJAS;448531;4475286;40.424.737.348.819.900;-360.803.688.991.874;630 107 994;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
190014;Iglesia Cristiana Adventista del Séptimo Día. Madrid Vallecas;;;;Bus: 24, 103, 111, 144;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=26f70bf21677f010VgnVCM1000000b205a0aRCRD;DOCTOR BELLIDO;CALLE;V;13;;;;;MADRID;MADRID;28018;SAN DIEGO;PUENTE DE VALLECAS;443462;4470882;4.038.473.396.152.090;-36.673.969.388.303.200;630 994 327;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
190059;Iglesia Cristiana Adventista del Séptimo Día. Madrid Ventas;;;;Metro:  La Elipa (línea 2)   Bus: 106, 113;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=0a08d5bfd677f010VgnVCM1000000b205a0aRCRD;HERMANOS GOMEZ;CALLE;V;32;;;;;MADRID;MADRID;28017;VENTAS;CIUDAD LINEAL;444986;4475922;40.430.239.463.904.700;-36.498.796.531.677.000;676 150 645;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
23684;Iglesia Cristiana Evangélica de Aluche;;;;Metro: Eugenia de Montijo (línea 5)  Bus: 17;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=bf9b92355c51c010VgnVCM2000000c205a0aRCRD;NUESTRA SEÑORA DE LA LUZ;CALLE;V;118;;;;;MADRID;MADRID;28047;ALUCHE;LATINA;436322;4471140;4.038.654.208.091.550;-3.751.536.019.050.470;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
7065980;Iglesia Cristiana Evangélica de Chamartín;;;;Metro: Colombia (líneas 8 y 9)  Bus: 7, 11, 40, 52, 87;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=474204a5d0260410VgnVCM2000000c205a0aRCRD;VÍCTOR DE LA SERNA;CALLE;V;58;;;;;MADRID;MADRID;28016;HISPANOAMERICA;CHAMARTIN;443144;4478991;4.045.776.241.085.650;-3.671.869.586.880.970;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
7063730;Iglesia Cristiana Evangélica en Hortaleza (Eben Ezer);;;;Metro: Parque de Santa María (línea 4)  Bus: 9, 107;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=924b7b05a8350410VgnVCM2000000c205a0aRCRD;SANTA VIRGILIA;CALLE;V;5;;;;POSTERIOR;MADRID;MADRID;28033;PINAR DEL REY;HORTALEZA;445550;4481223;4.047.803.083.728.160;-36.436.863.685.291.500;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
7064620;Iglesia Cristiana Hosanna;;;;Metro: Vista Alegre (línea 5)    Bus: 55;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=149a5bddd0950410VgnVCM1000000b205a0aRCRD;ALFARO;CALLE;V;34;;;;;MADRID;MADRID;28025;VISTA ALEGRE;CARABANCHEL;437558;4471523;4.039.008.603.694.380;-3.737.012.505.590.280;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
7064624;Iglesia Cristiana Reformada;;;;Metro: Barrio de la Concepción (línea 7)    Bus: 21, 53, 122;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a5cc5bddd0950410VgnVCM1000000b205a0aRCRD;CESAR GONZÁLEZ RUANO;CALLE;V;25;;;;;MADRID;MADRID;28027;SAN PASCUAL;CIUDAD LINEAL;444714;4476994;40.439.878.546.069.800;-36.531.796.217.016.900;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
7064802;Iglesia Cristiana Shalom Adonai;;;;Metro: Barrio del Pilar (línea 9)    Bus: 49, 83, 128, 132, 134, 137, 147;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=98296bbcdbc50410VgnVCM1000000b205a0aRCRD;MONDARIZ;PLAZA;V;10;;;;Local 5;MADRID;MADRID;28029;EL PILAR;FUENCARRAL-EL PARDO;440350;4481270;40.478.096.305.847.500;-37.050.349.888.320.500;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
7065928;Iglesia Cristiana Verbo;;;;Metro:  Torre Arias (línea 5)  Bus:  28, 48, 140;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=003ff181df160410VgnVCM2000000c205a0aRCRD;CIRCE;CALLE;V;32;;;;;MADRID;MADRID;28022;ROSAS;SAN BLAS-CANILLEJAS;448487;4475300;4.042.486.074.067.440;-3.608.556.691.010.070;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
7064883;Iglesia Cuerpo de Cristo, Don Pedro;;;;Metro: La Latina (línea 5)  Bus: 3, 60, 148;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a8319bd56dc50410VgnVCM2000000c205a0aRCRD;DON PEDRO;CALLE;V;10;;;;;MADRID;MADRID;28005;PALACIO;CENTRO;439635;4473899;4.041.164.356.061.590;-37.127.680.071.804.700;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
7064876;Iglesia Cuerpo de Cristo, General Ricardos;;;;Metro: Oporto (líneas 5 y 6), Vista Alegre (línea 5)  Bus: 34, 35, 247;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=335d9bd56dc50410VgnVCM2000000c205a0aRCRD;GENERAL RICARDOS;CALLE;V;188;;;;;MADRID;MADRID;28025;VISTA ALEGRE;CARABANCHEL;437694;4471104;4.038.632.169.648.760;-37.353.691.693.981.700;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
7064897;Iglesia de Cristo IEE;;;;Metro: Cuatro Caminos (líneas 1, 2 y 6)    Bus: 3, 37, 45, 64, 66, 124, 127, 128, 149, C1;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=03479bd56dc50410VgnVCM2000000c205a0aRCRD;BRAVO MURILLO;CALLE;V;85;;;;;MADRID;MADRID;28003;VALLEHERMOSO;CHAMBERI;440389;4477588;404.449.301.823.601;-37.042.284.365.191.200;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
7064917;Iglesia de Cristo - Madrid;;;;Metro: Alvarado (línea 1)  Bus: 3, 43, 64, 66, 124, 128;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=4fb3b607bec50410VgnVCM2000000c205a0aRCRD;TERUEL;CALLE;V;25;;;;;MADRID;MADRID;28020;CUATRO CAMINOS;TETUAN;440663;4478307;4.045.142.687.862.350;-37.010.649.675.352.000;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
7064921;Iglesia de Dios (Verbo de Dios);;;;Bus: 130;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=646b0ac0dfc50410VgnVCM2000000c205a0aRCRD;PUERTO DE POZAZAL;CALLE;V;25;;;;;MADRID;MADRID;28031;CASCO H.VALLECAS;VILLA DE VALLECAS;446593;4470283;4.037.954.477.665.530;-36.304.610.133.031.000;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
7064962;Iglesia de Filadelfia Orcasur;;;;Bus: 76, 78, 116;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=6b760ac0dfc50410VgnVCM2000000c205a0aRCRD;"ALBU&Ntilde;UELAS";CALLE;V;4;4ª;;;;MADRID;MADRID;28041;ORCASUR;USERA;440648;4468833;403.660.794.472.724;-37.003.447.903.871.800;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
3740;Iglesia de Jesús;;;;Metro: Puerta de Toledo, Latina (línea 5)  Bus: 3, 17, 18, 23, 35, 60, 148, C1;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=04750a47f441f010VgnVCM2000000c205a0aRCRD;CALATRAVA;CALLE;NUM;25;;;;;MADRID;MADRID;28005;PALACIO;CENTRO;439691;4473630;4.040.922.435.030.050;-37.120.824.876.404.400;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
