PK,NOMBRE,sameAs,direccion,DISTRITO,distriurl,LATITUD,LONGITUD,TELEFONO,CONTENT-URL,HORARIO
2055,Museo Nacional de Artes Decorativas,http://es.dbpedia.org/page/Museo_Nacional_de_Artes_Decorativas,calle montalban 12,Retiro (Madrid),http://dbpedia.org/resource/Retiro_(Madrid),40.417891279015194,-3.689754685481908,915 326 499 / 915 326 845 Reserva actividades infantiles: 910 505 755 Biblioteca: 910 505 768 Atencion a investigadores: 910 505 763,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=287079262ef5d010VgnVCM1000000b205a0aRCRD,"Del 8 de septiembre al 30 de junio:    Martes a sabados de 9:30 a 15 horas.  Domingo y festivos: de 10 a 15 horas.  Jueves tarde de 17 a 20 horas.    Del 5 de julio al 4 de septiembre:    Martes a sabados de 9:30 a 15 horas.  Domingo y festivos: de 10 a 15 horas.    Cerrado:  todos los lunes del ano, 1 y 6 de enero, 1 de mayo, 24, 25 y 31 de diciembre y un festivo local."
2056,Museo Nacional de Ciencias Naturales (España),http://dbpedia.org/page/Museo_Nacional_de_Ciencias_Naturales,calle jose gutierrez abascal 2,Chamartín (Madrid),http://dbpedia.org/resource/Chamartín_(Madrid),40.44042007613476,-3.690220716379925,914 111 328 (centralita),http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=8edbef4d7f71c010VgnVCM1000000b205a0aRCRD,"De martes a viernes de 10 a 17 horas.  Sabados, domingos y festivos de 10 a 20 horas.  Sabados y domingos de agosto de 10 a 15 horas.        Cerrado : todos los lunes no festivos, 1 y 6 de enero, 1 de mayo y 25 de diciembre."
2076,Museo Naval de Madrid,http://es.dbpedia.org/page/Museo_Naval_de_Madrid,paseo prado 5,Retiro (Madrid),http://dbpedia.org/resource/Retiro_(Madrid),40.41751289873052,-3.692768317427539,915 238 516 / 609 467 117 (martes y viernes de 9 a 14 horas) ,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a30cef4d7f71c010VgnVCM1000000b205a0aRCRD,"De martes a domingo de 10 a 19 horas  Cerrado los lunes y los festivos 1 y 6 de enero y 24, 25 y 31 de diciembre  Agosto, martes a domingo de 10 a 15 horas"
2085,Museo Postal y Telegráfico,http://es.dbpedia.org/page/Museo_Postal_y_Telegr%C3%A1fico,calle tapia de casariego 6,Moncloa-Aravaca,http://dbpedia.org/resource/Moncloa-Aravaca,40.467706026917405,-3.7690721403206724,917 400 668 / 917 400 664 (biblioteca),http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c82cef4d7f71c010VgnVCM1000000b205a0aRCRD,Museo: de lunes a viernes de 9 a 14 y de 16 a 18 horas  Biblioteca: de lunes a viernes de 9 a 14 y de 16 a 18 horas
4997114,Museo Sorolla,http://es.dbpedia.org/page/Museo_Sorolla,paseo general martinez campos 37,Chamberí,http://dbpedia.org/resource/Chamberí,40.43557863874977,-3.6923288211390055,913 101 584,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=6dd05e93aad9c110VgnVCM1000000b205a0aRCRD,"De martes a sabado: de 9:30 a 20 horas   Domingos: de 10 a 15 horas  Cerrado: todos los lunes del ano, 1 de enero, 6 de enero, 1 de mayo, 24, 25 y 31 de diciembre y dos festivos locales."
2099,Museo Thyssen-Bornemisza,http://es.dbpedia.org/page/Museo_Thyssen-Bornemisza,paseo prado 8,Centro (Madrid),http://dbpedia.org/resource/Centro_(Madrid),40.41600553697803,-3.694744831131079,"917 911 370                                                                                                                                                                                                                        
",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=0b8079262ef5d010VgnVCM1000000b205a0aRCRD,"Colecciones permanentes:   lunes de 12 a 16 horas (acceso gratuito gracias al patrocinio de MasterCard). Martes a domingos de 10 a 19 horas.    Exposiciones temporales : consultar horario especifico en Museo.  ultimo acceso 1 hora antes del cierre. El desalojo de todas las salas tendra lugar 5 minutos antes del cierre.   Avisos y aperturas extraordinarias:  los dias 1 de enero, 1 de mayo y 25 de diciembre el Museo permanecera cerrado. El 24 y el 31 de diciembre el horario de apertura del Museo sera de 10 a 15 horas"
2091,Museo de America,http://es.dbpedia.org/page/Museo_de_Am%C3%A9rica,avenida reyes catolicos 6,Moncloa-Aravaca,http://dbpedia.org/resource/Moncloa-Aravaca,40.43792950973577,-3.72186494128936,915 439 437 / 915 492 641,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c929ef4d7f71c010VgnVCM1000000b205a0aRCRD,"Horario:    De martes a sabado, de 9:30 a 15 horas  Jueves, apertura continuada de 9:30 a 19 horas  Domingos y festivos de 10 a 15 horas    Cerrado:  todos los lunes del ano, dias 1 y 6 de enero, 1 de mayo, dias 24, 25 y 31 de diciembre y un festivo local."
2071,Museo de Escultura al Aire Libre de la Castellana,http://es.dbpedia.org/page/Museo_Arte_P%C3%BAblico_de_Madrid,paseo castellana 40,Salamanca (Madrid),http://dbpedia.org/resource/Salamanca_(Madrid),40.433219398671156,-3.6876122680805956,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=eca9ef4d7f71c010VgnVCM1000000b205a0aRCRD,Entrada libre. Espacio urbano abierto  Abierto 24 horas al dia los 365 dias del ano.
2054,Museo de Historia de Madrid,http://es.dbpedia.org/resource/Museo_de_Historia_de_Madrid,calle fuencarral 78,Centro (Madrid),http://dbpedia.org/resource/Centro_(Madrid),40.42577054821346,-3.700845660719608,917 011 863,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=8f3079262ef5d010VgnVCM1000000b205a0aRCRD,"HORARIO DE VERANO:  de martes a domingo de 10:00 a 19 horas.  Cerrado : todos los lunes y los dias 1 y 6 de enero, 1 de mayo, 24, 25 y 31 de diciembre."
2112,Museo de San Isidro,http://es.dbpedia.org/page/Museo_de_San_Isidro,plaza san andres 1,Centro (Madrid),http://dbpedia.org/resource/Centro_(Madrid),40.41207900253883,-3.7108161027466378,913 667 415,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=7b7aef4d7f71c010VgnVCM1000000b205a0aRCRD,"General:  de martes a domingo y festivos de 9:30 a 20 horas.   16 de junio a 15 de septiembre:  martes a domingo de 10 a 19 horas.   Cerrado:  todos los lunes, 1 y 6 de enero, 1 de mayo y 24, 25 y 31 de diciembre."
4566286,Museo de la Catedral de la Almudena,http://es.dbpedia.org/page/Catedral_de_Santa_Mar%C3%ADa_la_Real_de_la_Almudena_de_Madrid,calle bailen 10,Centro (Madrid),http://dbpedia.org/resource/Centro_(Madrid),40.415538770017406,-3.7136931154460564,915 592 874,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=82cb8d0e78d22110VgnVCM1000000b205a0aRCRD,"De lunes a sabado de 10 a 14:30 horas  Cerrado los domingos, fiestas de precepto y dias de actos de culto especiales"
2066,Museo del Ferrocarril de Madrid,http://es.dbpedia.org/page/Museo_del_Ferrocarril_de_Madrid,paseo delicias 61,Arganzuela,http://dbpedia.org/resource/Arganzuela,40.400281290485566,-3.693817192160563,"902 228 822                                                                                                 
",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=091c4291ae91f010VgnVCM2000000c205a0aRCRD,"Del 1 de enero al 31 de mayo y del 1 de octubre al 31 de diciembre:    Lunes a jueves, de 9.30 a 15 horas.  Viernes, sabado, domingo y festivos de 10 a 20 horas (el segundo viernes de mes permanecera abierto hasta las 18 horas)    Del 1 de junio al 30 de septiembre   Lunes a domingo, de 10.00 a 15 horas.   Cerrado: 25 de diciembre, 1 y 6 de enero."
2058,Museo del Prado,http://es.dbpedia.org/page/Museo_del_Prado,calle ruiz de alarcon 23,Retiro (Madrid),http://dbpedia.org/resource/Retiro_(Madrid),40.41358458131178,-3.691325445518223,913 302 800,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=060079262ef5d010VgnVCM1000000b205a0aRCRD,"De lunes a sabado de 10 a 20 horas  Domingos y festivos de 10 a 19 horas  Cerrado los dias 1 de enero, 1 de mayo y 25 de diciembre  Horario reducido, de 10 a 14 horas, los dias 6 de enero, 24 y 31 de diciembre  Acceso al museo hasta 30 minutos antes del cierre (el desalojo de las salas comienza 10 minutos antes del cierre)  Horario gratuito, de lunes a sabado de 18 a 20 horas y domingos y festivos de 17 a 19 horas"
2059,Museo del Romanticismo,http://es.dbpedia.org/page/Museo_Nacional_del_Romanticismo_(Madrid),calle san mateo 13,Centro (Madrid),http://dbpedia.org/resource/Centro_(Madrid),40.42585510296794,-3.6987835425963063,914 481 045 / 914 480 163,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=706cef4d7f71c010VgnVCM1000000b205a0aRCRD,"Horario de invierno  (de noviembre a abril)  De martes a sabado: de 9:30 a 18:30. Domingos y festivos: de 10 a 15 horas   Horario de verano  (de mayo a octubre)  De martes a sabado: de 9:30 a 20:30. Domingos y festivos: de 10 a 15 horas   Cerrado:  Todos los lunes, 1 y 6 de enero, 1 de mayo, 24, 25 y 31 de diciembre."
2115,Museo del Traje,http://dbpedia.org/page/Museo_del_Traje,avenida juan de herrera 2,Moncloa-Aravaca,http://dbpedia.org/resource/Moncloa-Aravaca,40.439657822278555,-3.7278378564088275,915 504 700 ,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=053c4291ae91f010VgnVCM2000000c205a0aRCRD,"De martes a sabado de 9:30 a 19 horas. Domingos y festivos de 10 a 15 horas.  Verano (julio y agosto): los jueves se amplia el horario de 9: 30 a 22:30 horas.  Cerrado: todos los lunes, 1 y 6 de enero, 1 de mayo, 9 de noviembre, 24, 25 y 31 de diciembre."
2062,Palacio Real,http://es.dbpedia.org/page/Palacio_Real_de_Madrid,calle bailen 0,Centro (Madrid),http://dbpedia.org/resource/Centro_(Madrid),40.42075212551193,-3.712699107286406,914 548 700 (Informacion general),http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=47ddef4d7f71c010VgnVCM1000000b205a0aRCRD,Horario    De octubre a marzo: de 10 a 18 horas  De abril a septiembre: de 10 a 20 horas  Cierre taquillas una hora antes  Dia 14 de junio de 2017 cerrado a las 15 horas  Dia 15 de junio de 2017 cerrado en jornada completa
2063,Palacio de Liria,http://es.dbpedia.org/page/Palacio_de_Liria,calle princesa 20,Centro (Madrid),http://dbpedia.org/resource/Centro_(Madrid),40.42680681645222,-3.7125979731032404,915 475 302 y 915 481 550,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=22bdef4d7f71c010VgnVCM1000000b205a0aRCRD,"Las visitas:  viernes a las 10, 11 y 12 horas . Cada turno estara formado por un maximo de 15 personas."
2079,Panteon de Hombres Ilustres,http://es.dbpedia.org/page/Pante%C3%B3n_de_Hombres_Ilustres,calle julian gayarre 3,Retiro (Madrid),http://dbpedia.org/resource/Retiro_(Madrid),40.40622617519116,-3.683413041846525,914 548 700 (Informacion general),http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=361cef4d7f71c010VgnVCM1000000b205a0aRCRD,De martes a sabado de 10 a 14 y de 16 a 18:30 horas  Domingos y festivos de 10 a 15 horas. Lunes cerrado  Cerrado todos los lunes del ano
2213,Planetario de Madrid,http://es.dbpedia.org/page/Planetario_de_Madrid,avenida planetario 16,Arganzuela,http://dbpedia.org/resource/Arganzuela,40.39227092120195,-3.684968648157021,"914 673 461 (reserva grupos)                                                                                                                                                                                                                                                                                                                                                                                                                                               
914 673 898 (contestador automatico de informacion)",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c9c5b069a541f010VgnVCM1000000b205a0aRCRD,"EN LA ACTUALIDAD, CERRADO PARA PROCEDER A SU RENOVACIoN TECNOLoGICA."
2087,Real Fabrica de Tapices,http://es.dbpedia.org/page/Real_F%C3%A1brica_de_Tapices,calle fuenterrabia 2,Retiro (Madrid),http://dbpedia.org/resource/Retiro_(Madrid),40.406087329011655,-3.682515969574079,914 340 550,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=53cbff632081c010VgnVCM1000000b205a0aRCRD,"De lunes a viernes de 10 a 14 horas.  Cerrado: sabados, domingos, festivos, Semana Santa y agosto."
4707297,Real Monasterio de Santa Isabel,http://dbpedia.org/page/Royal_Monastery_of_Santa_Isabel,calle santa isabel 48,Centro (Madrid),http://dbpedia.org/resource/Centro_(Madrid),40.41213027498252,-3.6994547941964946,914 548 700 (Informacion general),http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=545b544a249c6110VgnVCM1000000b205a0aRCRD,El acceso al templo solo es posible en horario de culto y por la fachada principal.
3349,Real Monasterio de la Encarnacion,http://es.dbpedia.org/page/Real_Monasterio_de_la_Encarnaci%C3%B3n,plaza encarnacion 1,Centro (Madrid),http://dbpedia.org/resource/Centro_(Madrid),40.41967800877382,-3.711567962866152,914 548 700 (Informacion general),http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=72ad0713fb71c010VgnVCM1000000b205a0aRCRD,De martes a sabado: de 10 a 14 horas y de 16 a 18:30 horas  Domingos y festivos: de 10 a 15 horas. Tardes cerrado  Cierre taquillas: una hora antes  Cerrado todos los lunes del ano
20605,Templo de Debod,http://dbpedia.org/page/Temple_of_Debod,calle ferraz 1,Moncloa-Aravaca,http://dbpedia.org/resource/Moncloa-Aravaca,40.42425096551599,-3.716531855540272,913 667 415 (Museo de San Isidro / Templo de Debod),http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=13b432df1d51c010VgnVCM2000000c205a0aRCRD,"De martes a domingos y festivos: de 10:00 a 20:00 horas   El templo permanece cerrado los lunes y los dias 1 y 6 de enero, 1 de mayo, 24, 25 y 31 de diciembre.   ultimo pase de visita 15 minutos antes del cierre.  Este horario y la apertura de salas pueden sufrir modificaciones, por favor, confirmelo en el telefono de informacion del museo."
